AtNum,Group,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,PartOmegaOxygen,RMin,RMax,RAverage
11,E1(Li),1,8,6,6.38,1.500505,14.15145,33.97012,0.08277736,19.2363,0.01024,0.843002,2.37212,2.54728,2.44354
11,E1(Li),1,2,6,6.21,1.453025,12.85014,31.9062,0.082762,17.77212,0.034173,0.86021,2.31922,2.45857,2.37487
19,E1(Li),1,8,7,7.26,1.724766,21.49212,42.61974,0.08186011,33.7291,0.068606,0.718235,2.71734,3.34992,2.98371
92,E3(An),6,8,8,4.53,1.306433,9.34007,25.7664,0.08367241,18.33131,0.020156,0.999998,1.74833,2.5339,2.28912
48,E12(Zn),2,4,7,5.98,1.422231,12.05032,30.36162,0.08220108,20.08243,0.016074,0.940849,2.25452,2.51525,2.36549
3,E1(Li),1,8,4,4.6,1.359819,10.53251,29.10569,0.08952635,3.53703,0.05364,0.813542,1.89397,1.95665,1.93699
11,E1(Li),1,4,6,6.29,1.516784,14.61706,34.94017,0.08782204,14.16329,0.091268,0.917947,2.34155,2.38888,2.37021
25,E7(Mn),2,4,6,5.54,1.393411,11.33251,29.10275,0.08429131,11.27955,0.021084,0.969637,2.0968,2.37752,2.23446
25,E7(Mn),2,2,6,5.73,1.335392,9.97504,27.72497,0.08367345,13.12549,0,0.993747,2.08447,2.18203,2.14892
82,E14(Ñ),2,8,8,7.61,1.576546,16.41377,35.71873,0.081918,32.56027,0.161878,0.896122,2.45549,2.85679,2.67311
82,E14(Ñ),2,8,7,6.74,1.600594,17.17641,36.55605,0.0837187,22.51203,0.246824,0.811297,2.37001,3.0787,2.67627
82,E14(Ñ),2,8,6,6.58,1.604697,17.30884,36.88856,0.08507422,12.08777,0.302818,0.81755,2.27838,2.83048,2.55088
82,E14(Ñ),2,8,6,6.38,1.6039,17.28306,36.32917,0.08759171,13.50697,0.389222,0.768441,2.22431,2.74772,2.528
82,E14(Ñ),2,8,5,6.05,1.597929,17.09075,37.04669,0.08478002,9.31557,0.257456,0.793523,2.30535,2.69118,2.48388
27,E9(Co),2,8,6,5.77,1.300484,9.21305,26.05428,0.08375457,12.00122,0.01989,0.946764,2.04314,2.14915,2.09318
27,E9(Co),2,8,6,5.46,1.335487,9.97717,27.5702,0.08503234,12.14739,0.049717,0.975353,2.01763,2.34767,2.13512
27,E9(Co),2,8,6,5.65,1.304823,9.30558,26.40116,0.08413861,12.00155,0.04107,0.963118,2.01756,2.20606,2.09839
29,E11(Cu),2,2,6,5.55,1.297011,9.13943,26.11084,0.0854951,11.61767,0,0.952142,1.94181,2.29223,2.08322
25,E7(Mn),3,8,6,5.49,1.26405,8.46022,24.99309,0.08503458,11.02927,0.039548,0.996837,1.89151,2.33341,2.0365
67,E3(Ln),3,8,9,7.35,1.367497,10.71193,26.98273,0.07983036,27.12469,0.01933,0.997063,2.3041,2.49433,2.39203
23,E5(V),4,4,6,4.21,1.221072,7.62627,23.41131,0.08498148,10.0577,0.070171,0.987983,1.57776,2.2585,1.98186
30,E12(Zn),2,8,6,5.28,1.330042,9.85563,27.75605,0.08453802,12.67445,0.041603,0.998358,2.02772,2.39978,2.13838
25,E7(Mn),3,8,6,5.5,1.264575,8.47076,25.02655,0.08502228,11.0424,0.039259,0.997507,1.89236,2.32748,2.03709
64,E3(Ln),3,8,9,7.25,1.369206,10.75215,27.07118,0.07983654,27.21983,0.02107,0.999933,2.30883,2.4952,2.3946
82,E14(Ñ),2,2,7,7.14,1.581085,16.55596,36.27048,0.08366758,20.73749,0.212951,0.86945,2.44996,2.68408,2.58952
82,E14(Ñ),2,2,7,6.29,1.609584,17.46746,37.39524,0.08466872,25.7573,0.234161,0.876949,2.418,2.89897,2.64398
30,E12(Zn),2,18,5,4.43,1.599688,17.14723,45.20389,0.21258172,5.9406,1.176519,0.959902,1.95858,2.1297,2.03027
30,E12(Zn),2,18,5,4.4,1.607016,17.38398,45.60545,0.21173668,5.78199,1.193801,0.962531,1.97399,2.08314,2.02708
30,E12(Zn),2,18,5,4.39,1.62629,18.01701,46.59831,0.20939349,5.75069,1.18881,0.942167,1.91806,2.12804,2.04857
30,E12(Zn),2,18,5,4.34,1.653114,18.92332,48.20534,0.22250453,5.89644,1.327179,0.954154,1.97456,2.17448,2.05675
56,E2(Be),2,2,9,7.09,1.623905,17.93786,37.03099,0.08021643,40.76649,0.052451,0.848612,2.57218,3.20642,2.85995
56,E2(Be),2,2,9,7.46,1.620156,17.8139,36.85706,0.08082964,39.93127,0.042749,0.814791,2.60266,3.20072,2.85878
56,E2(Be),2,2,9,7.19,1.622501,17.89138,37.12862,0.08100077,39.62864,0.062709,0.849505,2.58835,3.18309,2.84009
56,E2(Be),2,2,9,7.5,1.621695,17.86473,37.00117,0.08051942,40.2793,0.024526,0.842277,2.56879,3.16459,2.85135
73,E5(V),5,2,6,5.29,1.195842,7.16324,22.35555,0.0839421,9.45609,0.011151,0.998937,1.81856,2.05615,1.92765
73,E5(V),5,2,6,5.23,1.234716,7.88478,23.76945,0.08371073,10.43574,0.02123,0.994954,1.85567,2.07986,1.99194
73,E5(V),5,2,6,5.1,1.187657,7.01716,22.06147,0.08375273,9.27358,0.014295,0.99988,1.76459,1.9629,1.91414
73,E5(V),5,2,6,5.42,1.216749,7.54557,23.09554,0.08380664,9.8834,0.014228,0.9939,1.88004,2.06422,1.95839
56,E2(Be),2,2,10,7.79,1.598402,17.10591,35.76797,0.07980898,43.14741,0.073982,0.843409,2.61867,3.42713,2.90414
56,E2(Be),2,2,10,7.46,1.606582,17.3699,36.32783,0.0800468,42.84385,0.049951,0.883604,2.65402,3.45831,2.88964
