RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
ACAQGD03;64;Ln;3;2;9;7,89;1,399886;11,49123;28,26501;0,08004732;28,46206;0,018536;0,98378
AFAXEN;3;E1;1;4;4;4,85;1,350849;10,32544;28,14234;0,08786902;3,25503;0,060248;0,812561
AFAXEN;3;E1;1;4;4;4,54;1,355146;10,4243;28,87334;0,08943973;3,23623;0,063344;0,831514
AFAXEN;26;E8;3;4;6;5,17;1,252966;8,23961;24,58277;0,08391244;10,85123;0,017838;1
AFAXEN;26;E8;3;4;6;5,69;1,248309;8,14808;24,36524;0,08387418;10,62223;0,016152;0,999996
AFAXEN;26;E8;3;4;6;5,64;1,24721;8,12657;24,32297;0,08391122;10,58523;0,016171;1
AFAXEN;26;E8;3;4;6;5,16;1,254092;8,26184;24,64708;0,08403022;10,84842;0,01916;1
AFOXAX;19;E1;1;2;6;5,53;1,704819;20,75504;45,3479;0,08603027;25,95677;0,116865;0,972849
AFOXAX;19;E1;1;6;10;6,12;1,718821;21,27063;42,6083;0,08285262;46,51831;0,081454;0,884596
AGAQAD;26;E8;2;2;4;4,27;1,479127;13,55518;34,47982;0,09370259;2,44011;0,112443;0,799714
AGEDIC;31;E13;3;4;6;5,73;1,247724;8,13662;24,32128;0,08419802;10,64825;0;0,994607
AGEHIG;11;E1;1;1;6;6,74;1,487574;13,78874;33,02365;0,08408381;16,98277;0;0,873508
AGEHIG;11;E1;1;1;6;5,98;1,471962;13,35914;32,88058;0,08290244;17,90702;0;0,929752
AGEHIG;28;E10;2;1;6;6,03;1,275887;8,70012;25,07391;0,08358246;11,38613;0;0,963939
BEVPAU02;27;E9;2;4;6;5,68;1,295987;9,1178;25,69755;0,08342838;11,94141;0,020651;0,918761
BINNAQ;29;E11;2;2;5;4,99;1,413134;11,82056;31,32458;0,10836627;6,21257;0,400448;0,913699
BINNAQ;29;E11;2;2;5;4,74;1,365314;10,66072;29,17386;0,09434386;6,11138;0,207284;0,909061
BINNAQ;48;E12;2;2;7;5,92;1,448589;12,7328;31,50012;0,08495259;18,05772;0,087066;0,905909
BINNAQ;48;E12;2;2;7;5,57;1,463279;13,12411;32,86052;0,0855878;19,83888;0,084844;0,9765
BIQFOZ;26;E8;3;2;6;5,83;1,236647;7,92183;23,86987;0,08349122;10,48761;0,015016;1
BIQFOZ;26;E8;3;2;6;5,84;1,236339;7,91591;23,85433;0,08347681;10,4893;0,015432;1
BIRNUO;23;E5;4;16;5;3,84;1,279695;8,77825;28,13268;0,10244485;5,02679;0,22114;0,99877
BIRNUO;23;E5;4;16;5;3,85;1,307013;9,35251;29,35924;0,10397164;5,34499;0,248551;0,998456
BIRNUO;23;E5;4;16;5;3,9;1,300752;9,21876;29,127;0,10400034;5,25812;0,238723;0,999836
BIRPAW;23;E5;4;48;5;3,67;1,333978;9,9434;30,46969;0,09618721;5,85623;0,122588;0,994807
BIRPAW;23;E5;4;48;5;3,64;1,32719;9,79237;30,23176;0,09583175;5,76688;0,106794;0,996822
BIRPAW;23;E5;4;48;5;3,78;1,335244;9,97173;30,584;0,09616043;5,86998;0,09947;0,997255
BIRPAW;23;E5;4;48;5;3,81;1,324806;9,73971;30,06983;0,09706062;5,74893;0,125174;0,996614
BIVHET01;50;E14;2;2;4;5,27;1,60746;17,3984;37,40308;0,09251431;4,68696;0,443353;0,691647
BIVHET01;50;E14;2;2;4;5,71;1,593742;16,95675;37,117;0,09326056;4,87825;0,427238;0,66077
BIVJOI;39;E3;3;2;3;5,49;1,403299;11,57548;28,76006;0,08424662;0;0,034452;0,528608
BIVJOI;39;E3;3;2;3;5,47;1,402419;11,55373;28,71527;0,08433466;0;0,034451;0,529266
BIVJOI;39;E3;3;2;3;5,47;1,401156;11,52254;28,66674;0,08421639;0;0,037407;0,528872
BIVJOI;39;E3;3;2;3;5,59;1,407698;11,68469;28,96046;0,08605441;0;0,123713;0,528713
BIVJOI;39;E3;3;2;3;5,59;1,405928;11,64066;28,88977;0,08576434;0;0,110016;0,527749
BIVJOI01;39;E3;3;2;3;5,47;1,417901;11,94061;29,38921;0,08601436;0;0,11574;0,537619
BIVJOI01;39;E3;3;2;3;5,33;1,410892;11,7644;29,14423;0,0846557;0;0,049202;0,539718
BIVJOI02;39;E3;3;2;3;5,56;1,409326;11,72526;28,97297;0,08597168;0;0,122481;0,529943
BIVJOI02;39;E3;3;2;3;5,59;1,407606;11,6824;28,92343;0,08572219;0;0,115007;0,528799
BIVJOI02;39;E3;3;2;3;5,43;1,406196;11,64733;28,85542;0,08439349;0;0,041119;0,532341
BIVJOI02;39;E3;3;2;3;5,45;1,400944;11,5173;28,68771;0,08437279;0;0,039789;0,530154
BIVJOI03;39;E3;3;2;3;5,55;1,409672;11,73391;29,10654;0,08593155;0;0,111471;0,533382
BIVJOI03;39;E3;3;2;3;5,41;1,405092;11,61992;28,89475;0,08442598;0;0,038515;0,533653
BIVJOI03;39;E3;3;2;3;5,47;1,406399;11,65236;28,93012;0,08443424;0;0,034401;0,532517
BIVJOI03;39;E3;3;2;3;5,38;1,408895;11,71452;29,03778;0,08451011;0;0,037439;0,536291
BIVJOI03;39;E3;3;2;3;5,51;1,411623;11,78269;29,16016;0,08618355;0;0,122269;0,53325
BIYNAB;47;E11;1;2;4;5,71;1,566489;16,10167;36,24648;0,08405558;6,22518;0,056286;0,863826
BIYPOR;60;Ln;3;2;8;6,88;1,417156;11,92179;29,64412;0,08156801;24,9202;0,021532;1
BIYPOR;60;Ln;3;2;8;7,12;1,430413;12,25952;30,20995;0,08194938;25,12257;0,026115;0,994416
BIYPOR;60;Ln;3;2;8;6,64;1,409485;11,72925;29,28992;0,08170535;24,10457;0,029827;0,993242
BIZDEW;28;E10;2;2;6;6,36;1,267293;8,5255;24,15511;0,08241161;11,67564;0;0,870476
BIZDEW;28;E10;2;2;6;6,28;1,276967;8,72223;24,66469;0,08262395;11,90063;0;0,890407
BOBWAT;64;Ln;3;4;8;7,59;1,390773;11,26827;28,48698;0,08148342;23,76552;0,017359;0,99917
BODQAP;30;E12;2;2;5;4,64;1,35147;10,33971;29,1727;0,089675;6,66888;0,079589;0,916559
BODQAP;30;E12;2;2;4;5,04;1,332206;9,90383;28,9488;0,09696148;3,61196;0,202193;0,769089
BODQAP;30;E12;2;2;4;4,72;1,364632;10,64475;29,62775;0,08886342;3,8117;0,047956;0,886655
BOFNAO;23;E5;4;4;5;3,95;1,27189;8,6186;26,77301;0,09609725;5,14366;0,184267;0,985343
BOFNES;23;E5;4;4;5;3,96;1,257257;8,32456;25,90322;0,09110835;5,2019;0,121568;0,971293
BOLNAU;82;E14;2;4;6;6,42;1,568281;16,15698;34,85402;0,0830148;12,86947;0,232423;0,741543
BOLNAU;82;E14;2;4;5;6,87;1,563956;16,02367;34,99311;0,08416426;9,21834;0,261114;0,733216
BOLNAU;82;E14;2;4;5;6,46;1,564027;16,02586;34,7887;0,08477242;9,07793;0,286359;0,672892
BOLNAU;82;E14;2;4;5;6,35;1,569704;16,20101;35,34406;0,08544443;8,89288;0,303696;0,665401
BOLNEY;82;E14;2;4;6;6,13;1,690563;20,23869;42,28888;0,09389136;13,26249;0,475724;0,82245
BOLNEY01;82;E14;2;2;4;5,95;1,595661;17,01809;36,66785;0,08517208;4,08167;0,292763;0,736409
BOLNEY01;82;E14;2;4;5;6,41;1,553982;15,71905;34,98905;0,08400477;8,60183;0,221264;0,702244
BOTBUK;64;Ln;3;6;7;6,21;1,37968;11,00079;28,85509;0,08235182;18,83277;0,028503;1
BOVNEI;12;E2;2;4;6;5,93;1,249005;8,1617;23,67031;0,08280804;11,01597;0,021285;0,914681
BOVNEI;12;E2;2;4;6;5,87;1,272732;8,63573;24,71996;0,08291124;11,62963;0,02189;0,933228
CAGLIS11;20;E2;2;2;8;7,47;1,42177;12,03862;29,50171;0,08101631;24,72126;0,018083;0,979698
CATART04;20;E2;2;4;8;7,29;1,432448;12,3119;29,86415;0,08071637;26,66941;0,039005;0,938195
CIMWIH;28;E10;2;8;6;5,18;1,298267;9,16601;26,37333;0,08414316;11,89819;0,01217;0,993545
CIMWIH;28;E10;2;8;6;5,57;1,280082;8,78622;25,56611;0,08342741;11,68887;0,004062;0,999789
CIMWIH;28;E10;2;8;6;5,18;1,292851;9,05179;26,04179;0,08413335;11,77197;0,028841;0,983993
CIQJIY;29;E11;2;4;5;5,45;1,292052;9,035;25,90752;0,08490399;5,98069;0,018192;0,887824
CIRQIG;65;Ln;3;4;8;6,76;1,393612;11,33741;28,45185;0,08105489;23,97362;0,009517;0,99365
CIRQOM;67;Ln;3;2;8;6,36;1,380539;11,02134;28,1642;0,08116804;23,21503;0,030227;0,996499
CIRVAD;23;E5;4;18;6;4,84;1,229813;7,79124;23,70522;0,08423035;10,25397;0,047951;1
CIRVAD;23;E5;4;18;6;5,32;1,225575;7,71095;23,48225;0,0837931;10,15847;0,013177;1
CIRVAD;23;E5;4;18;6;5,02;1,227958;7,75603;23,61348;0,08409554;10,18553;0,034954;1
CIRVAD;23;E5;4;18;6;5,15;1,225397;7,7076;23,49816;0,08390804;10,13619;0,017547;1
CISQUT;11;E1;1;2;6;6,71;1,507655;14,35472;33,53473;0,08382653;16,72007;0,101729;0,881287
CITLID;11;E1;1;4;5;5,37;1,570667;16,23085;37,6455;0,08766508;10,13318;0,033184;0,832296
CITVUZ;29;E11;2;9;6;5,78;1,30913;9,39804;26,75019;0,08364108;12,41998;0;0,999882
CITVUZ;29;E11;2;18;6;5,19;1,300108;9,20506;26,59537;0,084771;11,414;0,01388;0,995262
CODPIX;27;E9;2;18;5;5,49;1,305729;9,32498;26,5005;0,08424767;6,07513;0,06448;0,838727
CODPOD;27;E9;2;18;5;5,32;1,311882;9,45742;26,53597;0,08475965;6,16212;0,116258;0,847238
CODQAQ;27;E9;2;18;5;5,32;1,311803;9,45572;26,53475;0,08477078;6,15414;0,116662;0,847352
CODQEU;27;E9;2;18;5;5,32;1,311809;9,45584;26,53522;0,08476995;6,15429;0,116643;0,847368
CODQIY;58;Ln;3;2;3;5,92;1,470495;13,31924;31,3847;0,08571323;0;0,114126;0,497195
CODQIY;58;Ln;3;2;3;5,77;1,467388;13,23497;31,20845;0,08345258;0;0,068557;0,500197
COFORM12;27;E9;2;2;6;5,87;1,298779;9,17686;25,80694;0,08296747;12,36248;0;0,932788
COFORM12;27;E9;2;2;6;5,94;1,297034;9,13993;26,04503;0,08338904;12,14698;0;0,985719
COFQAS;27;E9;2;2;6;6,12;1,298993;9,18141;25,88854;0,08345353;12,1359;0;0,921272
COFQEW;29;E11;2;4;5;5,41;1,295826;9,11442;26,14523;0,08495411;5,98948;0,022739;0,889453
COFQIA;29;E11;2;4;5;5,5;1,293832;9,07239;26,03147;0,08500396;5,93543;0,028411;0,89434
COFQOG;82;E14;2;8;8;7,07;1,566295;16,09569;35,474;0,08240886;30,5092;0,169905;0,907368
COFQOG;82;E14;2;8;9;7,43;1,568906;16,1763;35,09758;0,08179034;38,92379;0,178496;0,938067
COKJUH01;20;E2;2;2;8;6,55;1,434305;12,35985;30,50191;0,08103697;25,48637;0,007587;0,999747
COKJUH01;20;E2;2;2;7;6,32;1,454859;12,89886;31,56138;0,08265426;20,84377;0,05732;0,936324
COKNIB03;29;E11;2;18;5;4,52;1,589077;16,8083;45,56188;0,22413933;6,30881;1,181186;0,956741
COKNUN03;25;E7;2;18;5;4,41;1,715287;21,1397;52,20296;0,22460636;6,35539;1,383906;0,953487
COKYOT;29;E11;2;2;5;5,13;1,319157;9,61564;27,40784;0,0868944;6,09232;0,055401;0,900661
COKYUZ;29;E11;2;2;5;5,19;1,334944;9,96502;28,08538;0,08648529;6,27422;0,077081;0,896204
CONTAD;3;E1;1;8;5;4,68;1,36467;10,64562;29,68899;0,09085022;4,08059;0,031891;0,864429
CONTAD;90;An;3;8;4;6,19;1,496834;14,04784;32,09188;0,08366953;0,3564;0,009751;0,638078
COQFAS;63;Ln;3;3;9;7,64;1,380676;11,02463;27,47452;0,07966828;28,68443;0,00845;1
COQJAW;28;E10;2;2;6;6,4;1,265142;8,48217;24,11597;0,0825037;11,61052;0,029944;0,87148
COTGIE;29;E11;2;8;5;5,44;1,299071;9,18306;26,41421;0,08552429;6,01671;0,016665;0,916854
CRAQAC13;24;E6;2;8;5;5,54;1,308497;9,38441;26,66479;0,08406565;6,27781;0,007213;0,866161
CUAQAC31;29;E11;2;8;5;5,4;1,293128;9,05759;25,86679;0,08473942;5,98529;0,038089;0,865173
CUAQAC32;29;E11;2;8;5;5,39;1,296919;9,1375;26,26393;0,085184;5,95711;0,025163;0,903385
CUBNZT01;29;E11;1;4;4;5,38;1,297007;9,13936;25,5617;0,08444064;0;0;0,887647
CUCITD04;29;E11;2;4;5;5,12;1,337398;10,02006;27,7213;0,08970601;6,42879;0,117955;0,935689
CUCITD04;29;E11;2;4;5;4,87;1,365073;10,65506;29,17628;0,09362482;6,78042;0,088392;0,921648
CUFODO11;29;E11;2;2;5;5,48;1,294183;9,07978;25,96111;0,08487585;5,98849;0,020468;0,888987
CUFODO11;29;E11;2;2;5;5,48;1,300312;9,20941;26,23486;0,08504227;6,1054;0,009543;0,891241
CUPXEQ01;26;E8;3;2;6;5,9;1,248219;8,14631;24,35849;0,08380477;10,58843;0,014322;0,999091
CUTBUX01;29;E11;1;4;2;4,84;1,515669;14,58485;33,68617;0,08986022;0;0,03826;0,413212
CUTBUX01;29;E11;1;4;2;4,89;1,498382;14,09148;33,28366;0,09023382;0;0,109231;0,526627
CUTBUX01;29;E11;1;4;2;4,67;1,554048;15,72106;35,58228;0,09197653;0;0,101284;0,427444
CUTBUX01;29;E11;1;4;2;4,89;1,499985;14,13674;33,33356;0,0901781;0;0,085966;0,525372
DIHVIB02;29;E11;2;48;5;5,44;1,290528;9,00307;26,19773;0,0853774;5,88513;0,022788;0,903447
DIKQET05;30;E12;2;4;4;5,45;1,368129;10,7268;29,12842;0,09014622;3,41048;0,042944;0,875126
DILXAA;55;E1;1;4;6;9,33;1,821332;25,30789;46,30856;0,08114359;30,60658;0,055972;0,602406
DILXAA;92;An;6;4;8;4,53;1,303644;9,28037;25,63982;0,0835358;18,32481;0,002263;1
DINCEL;82;E14;2;2;7;6,87;1,621059;17,84369;37,86229;0,0859256;20,6226;0,320278;0,908204
DODWAX;57;Ln;3;4;10;7,08;1,469348;13,2881;30,682;0,07961571;37,20201;0,019532;0,952678
DODWEB;59;Ln;3;4;10;7,32;1,45106;12,79809;30,01845;0,07963825;35,57146;0,014041;0,989068
DODWIF;63;Ln;3;4;10;7,18;1,419571;11,98284;28,72705;0,07966128;33,45697;0,004531;0,983952
DODWOL;64;Ln;3;4;10;7,15;1,415004;11,86758;28,55911;0,07967387;33,14402;0,002936;0,986647
DOGQAU;4;E2;2;8;4;4,09;1,191893;7,09252;25,14013;0,09905604;2,15349;0,004126;0,975293
DONSAD;20;E2;2;8;7;6,31;1,439725;12,50048;30,96378;0,08182587;21,73747;0,030004;0,976184
DONSEH;20;E2;2;4;6;6,32;1,433935;12,35028;30,08475;0,08187949;16,05019;0,032944;0,822087
DONSEH;20;E2;2;4;6;6,24;1,459877;13,03278;31,51532;0,08302174;16,48949;0,069981;0,901656
DONSEH;20;E2;2;4;6;5,93;1,49025;13,86327;33,45223;0,08530053;16,13099;0,126697;0,88818
DONSOR;20;E2;2;2;7;6,77;1,449036;12,7446;30,83292;0,0820685;21,36309;0,03606;0,929662
DONSOR;20;E2;2;2;6;5,84;1,478781;13,54566;32,85721;0,08441341;16,10162;0,09861;0,877737
DONSOR;20;E2;2;2;6;6,5;1,456524;12,94321;30,85794;0,08225357;15,86704;0,055365;0,814626
DOPCEQ01;63;Ln;3;4;9;7,45;1,41208;11,79415;28,77121;0,07998303;29,18519;0,009848;0,986522
DOQHAV;30;E12;2;4;6;5,94;1,286021;8,90908;25,7955;0,08354646;11,77076;0,016972;0,999121
DOQHAV;30;E12;2;8;4;4,43;1,394007;11,34706;31,99872;0,09170624;3,72429;0,053777;0,981262
ECESIO01;12;E2;2;4;4;4,53;1,365655;10,6687;28,91777;0,08818184;3,52596;0,042006;0,798536
EFOZAD;64;Ln;3;8;8;6,95;1,403633;11,58376;28,74863;0,08080973;24,46821;0,019502;0,968454
EFOZAD;64;Ln;3;8;8;6,92;1,421236;12,02505;29,49952;0,08172761;23,17885;0,064285;0,884703
EFUBUF;62;Ln;3;2;9;7,13;1,428994;12,22306;29,60816;0,08066906;30,46447;0,038066;0,988103
EFUBUF;62;Ln;3;2;9;7,78;1,426894;12,16925;29,37818;0,08032709;30,25332;0,026159;0,983124
EGIKUB02;30;E12;2;8;4;4,6;1,370362;10,77939;29,85204;0,08902367;3,70877;0,084461;0,907994
EGIKUB02;30;E12;2;4;4;4,61;1,383723;11,09777;30,42581;0,09106364;3,64886;0,136478;0,904969
EGIKUB02;30;E12;2;4;4;4,68;1,371578;10,80812;30,05154;0,08993783;3,77293;0,083651;0,911615
EUACAC12;63;Ln;3;4;8;7,47;1,398298;11,45217;28,7312;0,08165922;24,1046;0,035933;0,984316
FAGVEO02;38;E2;2;2;8;7,22;1,513211;14,51401;33,23771;0,08069693;31,06782;0,023952;0,953353
FATTID04;11;E1;1;4;6;5,91;1,463768;13,13728;32,25392;0,08303706;17,31896;0,063507;0,894165
FATTID04;11;E1;1;4;7;7,13;1,48932;13,83733;32,65418;0,08263752;20,36543;0,036632;0,880085
FATTID04;11;E1;1;8;6;5,31;1,498418;14,09248;33,29564;0,08349451;17,30146;0,078603;0,811032
FATTID04;11;E1;1;8;6;6,05;1,488456;13,81326;33,36284;0,08377377;17,29232;0,06973;0,864312
FELGUY02;12;E2;2;2;6;6,28;1,282991;8,84625;25,04197;0,08270321;11,99775;0;0,918632
FISCUI;72;E4;4;24;8;7,53;1,311673;9,45291;25,66066;0,08417836;18,23536;0,047212;1
FISQEG;27;E9;2;2;6;5,18;1,334702;9,95958;27,36353;0,08599997;11,25734;0,06511;0,939556
FISQEG;27;E9;2;2;6;5,51;1,3166;9,55982;26,70096;0,08382452;12,74895;0,02076;0,953054
FISQEG;27;E9;2;2;5;4,93;1,352667;10,36721;28,7908;0,08723403;7,08028;0,089062;0,976199
FISQIK;27;E9;2;18;6;5,1;1,308944;9,39403;27,02335;0,08497415;11,56418;0,01445;0,997225
FISQIK;27;E9;2;9;6;5,82;1,327127;9,79097;27,50175;0,08377251;12,90608;0;0,999281
FITNII;42;E6;6;4;5;4,47;1,216465;7,54028;23,29626;0,08682808;5,31068;0,036477;0,911939
FITPAC;74;E6;6;2;5;4,47;1,228459;7,76552;23,86732;0,08824232;5,5636;0,010629;0,91513
FITPAC;74;E6;6;2;5;4,57;1,217869;7,56642;23,28592;0,08700315;5,39312;0,020001;0,908442
FITVEM;42;E6;6;2;5;4,41;1,222026;7,64417;23,58892;0,08859548;5,46327;0,005789;0,914139
FITVEM;42;E6;6;2;5;4,5;1,213528;7,48579;23,04944;0,08707711;5,36232;0,022716;0,904396
FIVRUA;48;E12;2;2;6;6,26;1,437189;12,43455;30,77021;0,08397607;13,82221;0,053779;0,893279
FIVRUA;48;E12;2;2;6;6,09;1,460579;13,0516;31,91976;0,0865583;14,3113;0,194625;0,910165
FIVRUA;48;E12;2;2;7;6,16;1,450534;12,78417;31,93958;0,08477491;18,11148;0,029525;0,93363
FIVRUA;48;E12;2;2;7;6,06;1,438136;12,45915;30,85846;0,08376861;18,94835;0,064401;0,916362
FIVRUA;48;E12;2;2;7;6,66;1,4345;12,36489;31,17288;0,08418656;18,67909;0,039545;0,961318
FIVXUG;48;E12;2;1;6;5,98;1,416565;11,90687;30,84661;0,08335848;15,65332;0;0,969731
FIVXUG;48;E12;2;2;7;5,16;1,456426;12,94058;32,45094;0,08428036;19,02254;0,053467;0,999856
FIVYAN;29;E11;2;2;5;5,28;1,286625;8,92164;25,38309;0,08489117;6,29928;0,049252;0,792894
FIVYAN;29;E11;2;2;5;5,36;1,308663;9,38798;26,94809;0,08556641;6,25025;0,014668;0,910457
FIXCOH;25;E7;2;2;5;5,18;1,382356;11,06493;29,98267;0,08531999;7,57203;0,049412;0,880055
FIXCOH;25;E7;2;2;5;5,09;1,376461;10,92396;29,67014;0,08513737;7,3902;0,041679;0,883458
FIXCOH;78;E10;2;2;4;5,1;1,443079;12,58806;31,83678;0,0960818;0,11395;0,274293;0,863348
FIXCOH;78;E10;2;2;4;5,11;1,400663;11,51038;30,30591;0,09019091;0,08374;0,146504;0,817703
FIXCUN;28;E10;2;2;5;5,62;1,308892;9,39292;26,51266;0,08381225;6,17148;0,052831;0,855877
FIXCUN;78;E10;2;2;4;5,18;1,39295;11,32128;29,88351;0,08967086;0,14136;0,185518;0,809099
FIXDAU;30;E12;2;2;5;5,64;1,338063;10,03502;27,56699;0,08377608;6,7735;0,04726;0,839203
FIXDAU;78;E10;2;2;4;5,21;1,413203;11,8223;30,62538;0,08951395;0,0704;0,172928;0,825819
FIXVAM;59;Ln;3;2;9;7,89;1,444414;12,62304;30,13913;0,080021;31,59313;0,011487;0,997009
FIXVAM;59;Ln;3;2;9;8,43;1,43767;12,44705;29,60592;0,0799007;31,53168;0,026708;0,931488
FIYDEZ;27;E9;2;4;6;5,98;1,295842;9,11475;26,20433;0,08348633;12,08758;0;1
FIYHON;19;E1;1;2;6;6,59;1,681073;19,89978;41,18408;0,08350739;19,37384;0,148384;0,795309
FIYHON;19;E1;1;2;6;6,89;1,670447;19,52479;40,56565;0,0824947;25,00239;0,098431;0,825989
FIYHON;19;E1;1;2;7;6,93;1,647214;18,72141;39,02922;0,08102699;32,86488;0,028358;0,707461
FIYHON;19;E1;1;2;7;6,34;1,664253;19,3084;41,10236;0,08272025;28,20434;0,02471;0,86335
FIYHON;19;E1;1;2;8;6,13;1,67226;19,58845;40,19507;0,08098502;40,69501;0,052075;0,760173
FIYHON;19;E1;1;2;5;6,74;1,685267;20,0491;41,22525;0,08319482;16,15837;0,101207;0,689872
FIYKUW;25;E7;2;4;6;5,63;1,346027;10,21527;27,66494;0,08319553;13,62819;0,035489;0,917682
FIYKUW;29;E11;2;4;4;5,29;1,331114;9,87949;26,94732;0,08814166;0,20725;0,119289;0,852605
FIYLAD;27;E9;2;4;6;5,88;1,293863;9,07305;25,60352;0,08308376;12,1452;0,021115;0,933678
FIYLAD;29;E11;2;4;4;5,19;1,335743;9,98292;27,13517;0,08844541;0,1321;0,118969;0,841092
FIYLEH;28;E10;2;4;6;6,09;1,265854;8,49649;24,31399;0,08261283;11,5464;0,014241;0,899023
FIYLEH;29;E11;2;4;4;5,26;1,33212;9,9019;27,0115;0,08819321;0,17297;0,11768;0,86375
FIYLIL;29;E11;2;4;4;5,2;1,331242;9,88235;26,99438;0,08813957;0,1961;0,117235;0,849157
FIYLIL;30;E12;2;4;6;5,89;1,287012;8,9297;24,91043;0,08242314;12,1756;0,020945;0,864073
FIYLOR;29;E11;2;1;4;5;1,410329;11,75032;30,9416;0,09612233;0;0;0,811506
FIYLOR;29;E11;2;1;4;4,98;1,397638;11,43597;30,749;0,09370624;0;0;0,972359
FIYLOR;48;E12;2;2;7;6,49;1,417168;11,9221;29,7362;0,08222691;19,38164;0,018351;0,92628
FIYQOW;28;E10;2;8;6;5,73;1,27432;8,6681;25,00049;0,08354935;11,50622;0,051992;0,95032
FIYSIS;83;E15;3;2;9;6,75;1,492185;13,91736;32,36008;0,08416068;33,53798;0,230316;1
FIYSIS;83;E15;3;2;8;5,92;1,492682;13,93126;32,41874;0,08584433;24,97642;0,28926;0,916203
FIYSIS;83;E15;3;2;6;5,42;1,532825;15,08574;34,27776;0,08853676;15,83918;0,368077;0,822541
FIYSIS;83;E15;3;2;7;5,55;1,507671;14,35516;33,44611;0,08646966;23,5211;0,302701;0,929062
FIYSIS;83;E15;3;2;7;5,16;1,515405;14,57722;33,52981;0,08615182;25,6903;0,30315;0,90766
FIYSIS;83;E15;3;2;7;5,58;1,517185;14,62865;33,9217;0,09001534;21,63444;0,37964;0,915248
FIYSIS;83;E15;3;2;8;5,79;1,551674;15,64913;34,50035;0,09092604;30,54023;0,423634;0,971573
FIYSIS;83;E15;3;2;8;6;1,511162;14,45511;33,18319;0,08724765;27,61422;0,329686;0,952958
FIYSIS;83;E15;3;2;10;5,66;1,518602;14,66969;33,34507;0,08587312;41,70683;0,295703;0,982349
FIYSIS;83;E15;3;2;7;5,7;1,537864;15,235;34,54252;0,09034156;21,21321;0,405445;0,899098
FIYSIS;83;E15;3;2;9;5,97;1,543728;15,40995;34,257;0,08996935;34,79204;0,40411;0,935699
FIYSIS;83;E15;3;2;10;6,51;1,484947;13,71581;31,86004;0,08352951;37,80699;0,206043;1
FIYSIS;83;E15;3;2;6;5,26;1,548051;15,53976;34,90514;0,08991071;16,01657;0,395712;0,831722
FIYSIS;83;E15;3;2;8;5,78;1,496699;14,04404;32,48679;0,08628183;28,46618;0,300016;0,915197
FIYSIS;83;E15;3;2;8;5,74;1,542193;15,36402;35,35251;0,09233328;25,55332;0,423477;0,961081
FIYSIS;83;E15;3;2;7;6,06;1,523604;14,81511;33,06065;0,08808725;20,59795;0,38094;0,828503
FIYSIS;83;E15;3;2;9;6,95;1,467268;13,23174;31,33644;0,08175578;30,50479;0,091052;1
FIYSIS;83;E15;3;2;9;5,91;1,55152;15,64448;34,8839;0,09197297;35,76793;0,440263;0,968457
FIYSIS;83;E15;3;2;7;5,83;1,509356;14,40337;33,30421;0,08669086;20,42576;0,319641;0,898283
FIYSOY;83;E15;3;2;6;5,59;1,523365;14,80813;34,44837;0,09020447;17,4024;0,356616;0,845676
FIYSOY;83;E15;3;2;7;6,07;1,534497;15,13515;33,91751;0,08946956;17,92076;0,406255;0,842282
FIYSOY;83;E15;3;2;9;5,82;1,531535;15,04768;33,61017;0,08746794;36,66243;0,350869;0,953747
FIYSOY;83;E15;3;2;10;6,73;1,489504;13,84248;32,11666;0,08319731;37,50856;0,195538;1
FIYSOY;83;E15;3;2;7;5,35;1,537425;15,22196;34,258;0,08830586;23,4546;0,36648;0,883296
FIYSOY;83;E15;3;2;9;7,35;1,471482;13,34607;31,45646;0,08167985;30,67572;0,092944;1
FIYSOY;83;E15;3;2;6;5,41;1,537177;15,21458;34,48657;0,09078152;15,13959;0,407289;0,833788
FIYSOY;83;E15;3;2;9;5,6;1,526897;14,91137;33,37886;0,08713002;29,1563;0,350788;0,921048
FIYSOY;83;E15;3;2;9;5,83;1,547832;15,53316;34,5918;0,08889626;38,27218;0,373111;0,904971
FIYSOY;83;E15;3;2;8;5,95;1,538912;15,26616;34,26704;0,09122962;28,16005;0,421158;0,936221
FIYSOY;83;E15;3;2;10;5,81;1,543943;15,41639;34,1545;0,08778583;43,55379;0,363858;0,977554
FIYSOY;83;E15;3;2;8;6,1;1,527276;14,92248;33,78813;0,08946106;28,04843;0,390821;0,932994
FIYSOY;83;E15;3;2;10;6,57;1,48684;13,76834;31,94189;0,0836177;37,7806;0,213499;1
FIYSOY;83;E15;3;2;6;5,32;1,568935;16,1772;36,13074;0,09179044;15,65928;0,439167;0,862317
FIYSOY;83;E15;3;2;7;5,64;1,495132;13,99998;32,87826;0,08528272;24,14033;0,274677;0,886014
FIYSOY;83;E15;3;2;6;5,7;1,568018;16,14885;36,33101;0,09279981;15,45308;0,452179;0,884028
FIYSOY;83;E15;3;2;7;5,89;1,513466;14,52135;32,8393;0,08652718;20,96337;0,332158;0,831876
FIYSOY;83;E15;3;2;7;5,58;1,512615;14,49686;33,91481;0,0891877;22,65679;0,354655;0,94716
FIYSOY;83;E15;3;2;7;6,01;1,505301;14,28759;33,01719;0,08806986;18,26816;0,345135;0,836275
FIZROY;23;E5;4;4;6;4,16;1,222008;7,64383;23,61124;0,08519932;10,00235;0,053769;0,998606
