RefCode;AtNum;Group;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen
XOKZUV;92;An;6;2;8;4,57;1,306145;9,3339;25,72312;0,08339773;18,40288;0,007093;1
XOKZUV;92;An;6;2;8;4,58;1,310787;9,43377;25,91648;0,08345544;18,56804;0,002867;1
XOKZUV;92;An;6;2;8;4,56;1,308977;9,39475;25,85179;0,08353507;18,51265;0,013218;1
XOLXII;75;E7;7;1;6;6;0,889713;2,95011;12,34175;0,08333333;3,93348;0;1
XOMCIO;29;E11;2;48;5;5,35;1,297397;9,1476;26,4471;0,08571537;6,23399;0,039782;0,890309
XOMCOU;29;E11;2;48;5;5,38;1,291581;9,02513;26,1986;0,08540718;6,07185;0,019038;0,891483
XOMCUA;29;E11;2;48;5;5,34;1,303437;9,27596;26,71772;0,08581319;6,29345;0,036922;0,895095
YAMXOA02;30;E12;2;4;6;5,39;1,311812;9,45591;26,84301;0,08456159;12,16189;0,017707;0,975223
YAMXOA03;30;E12;2;4;6;5,46;1,305741;9,32523;26,60697;0,08446091;12,01094;0,019246;0,978252
YANBAR04;27;E9;2;2;6;5,96;1,300061;9,20407;26,16828;0,0834224;12,20394;0;0,985941
YANBAR04;27;E9;2;2;6;5,94;1,289913;8,99022;25,75721;0,08330474;11,97667;0;0,985715
YANBAR04;27;E9;2;4;6;5,48;1,304153;9,29126;26,54464;0,08406654;12,00464;0,04791;1
YANBAR04;27;E9;2;4;6;5,63;1,298393;9,16869;26,27792;0,08403407;11,8552;0,017688;0,992567
YAVYEZ02;22;E4;4;4;6;4,85;1,213789;7,49062;23,10321;0,08453046;9,6089;0,035086;0,9955
YAVYEZ02;22;E4;4;4;6;4,75;1,22183;7,64049;23,60489;0,08529635;9,65377;0,044732;0,999368
YAVYEZ02;22;E4;4;4;6;4,71;1,224899;7,6982;23,62739;0,08515378;9,73547;0,043423;0,995854
YAVYEZ02;22;E4;4;4;5;4,17;1,285055;8,88901;27,25036;0,09249107;5,31425;0,050647;0,991344
YAVYEZ02;22;E4;4;4;5;4,11;1,278832;8,76051;27,12609;0,0926004;5,22071;0,039069;0,992267
YAVYEZ02;22;E4;4;4;5;4,11;1,28079;8,8008;27,37466;0,09310661;5,25518;0,037399;0,997437
YENKUA01;70;Ln;3;2;6;6;1,376709;10,92986;29,56363;0,08341043;14,53358;0;1
YEXQOK;40;E4;4;6;12;8,69;1,245014;8,08372;22,44988;0,08376221;19,21823;0,132163;1
YEXQOK;40;E4;4;12;10;6,98;1,214003;7,49459;21,50764;0,08438116;15,53436;0,102995;1
YICGEZ;66;Ln;3;4;8;6,55;1,401294;11,52594;29,07073;0,08157922;24,05891;0,053576;1
YICGID;62;Ln;3;4;8;6,6;1,428693;12,21532;30,19288;0,08160738;25,36829;0,050601;0,998425
YICGOJ;63;Ln;3;4;8;6,58;1,417942;11,94163;29,75951;0,08158899;24,82946;0,050154;0,999353
