AtNum;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;Topology;CP composition
40;4;2;8;7,28;1,288372;8,95803;24,41819;0,08069843;19,34262;0;1;{8/18/12-2};O8
55;1;2;12;10,56;1,838711;26,03927;46,39717;0,07961826;126,97834;0,061867;0,863413;{24/66/44-53};O12
55;1;2;10;8,07;1,823854;25,41319;46,56447;0,07960305;105,20682;0,039369;0,85766;{18/48/32-420};O10
55;1;2;9;7,7;1,80778;24,74715;46,50452;0,08016517;100,33896;0,059537;0,928281;{19/51/34-246};O9
55;1;2;9;8,27;1,807212;24,72385;46,2139;0,07984049;92,17606;0,055993;0,841754;{18/48/32-421};O9
55;1;2;9;7,91;1,834314;25,85292;47,52874;0,08070148;112,49917;0,04573;0,923254;{21/57/38-123};O9
41;5;2;5;4,73;1,271461;8,6099;26,01799;0,08966329;23,75371;0,050875;0,946948;{11/27/18-159};O5
3;1;4;4;4,41;1,386888;11,1741;31,51429;0,09241282;27,69033;0,10485;0,898743;{13/33/22-489};O4
3;1;4;4;4,48;1,374104;10,86795;30,39209;0,09164848;28,24633;0,088668;0,888645;{12/30/20-300};O4
81;1;4;8;6,88;1,793686;24,17286;44,67459;0,08192731;112,60324;0,212197;0,736816;{26/72/48-26};O8
81;1;4;5;7,19;1,758202;22,76642;44,08683;0,08233277;85,99554;0,163162;0,709248;{18/48/32-422};O5
81;1;4;6;6,5;1,746049;22,29758;44,57025;0,08340789;81,45255;0,174348;0,771306;{18/48/32-423};O6
81;1;4;6;6,86;1,710548;20,96499;42,66119;0,08260652;59,66763;0,169411;0,776857;{13/33/22-490};O6
19;1;3;8;6,79;1,613028;17,57983;37,2458;0,08105192;66,73082;0,049341;0,885339;{17/45/30-393};O8
29;2;2;5;5,25;1,299462;9,19135;26,05848;0,0856343;24,76403;0,037366;0,881082;{10/24/16-22};O5
56;2;4;8;7,7;1,634643;18,29605;38,19004;0,0812141;77,58739;0,080626;0,87841;{20/54/36-249};O8
56;2;2;10;7,9;1,653258;18,92826;39,07232;0,08047366;67,29059;0;0,955081;{20/54/36-250};O10
56;2;4;8;7,91;1,623903;17,93778;37,6042;0,08032463;70,52065;0,060027;0,893347;{19/51/34-247};O8
56;2;2;10;8,13;1,654331;18,96512;38,84932;0,08019126;79,42565;0;0,952968;{22/60/40-92};O10
23;4;2;5;3,97;1,268205;8,54391;26,46127;0,09319956;21,43975;0,13395;0,99532;{9/21/14-7};O5
56;2;2;9;8,13;1,610851;17,50875;37,06713;0,07985346;62,27273;0,031153;0,957648;{15/39/26-507};O9
3;1;18;4;4,33;1,426749;12,16554;32,40857;0,09678885;56,13011;0,085551;0,820636;{20/54/36-251};O4
63;3;6;6;6,04;1,438409;12,46625;32,23491;0,08530802;28,17864;0,058364;0,984404;{9/21/14-21};O6
3;1;18;4;4,32;1,423406;12,08023;32,31353;0,09680991;53,22112;0,089115;0,820947;{19/51/34-248};O4
62;3;6;6;6,11;1,452228;12,82901;32,78509;0,08547504;39,48267;0,064164;0,97931;{12/30/20-426};O6
47;1;4;4;5,37;1,553012;15,68965;35,40027;0,08404879;62,48584;0,094138;0,712958;{20/54/36-252};O4
48;2;4;7;7;1,415469;11,87927;29,71752;0,08210824;33,48227;0,040249;0,89832;{15/39/26-508};O7
11;1;4;4;5,28;1,573435;16,31681;37,02746;0,08789409;54,10361;0,040317;0,70115;{16/42/28-293};O4
11;1;4;4;5,28;1,573435;16,31681;37,02746;0,08789409;54,10361;0,040317;0,70115;{16/42/28-293};O4
46;2;4;4;4,9;1,433341;12,33495;32,19892;0,09443222;40,74828;0,156597;0,78385;{13/33/22-491};O4
46;2;4;4;4,81;1,445977;12,66406;32,88688;0,093513;40,71555;0,063859;0,798585;{14/36/24-673};O4
46;2;4;4;4,7;1,456961;12,95484;33,13948;0,09541906;56,50736;0,072239;0,795617;{17/45/30-394};O4
46;2;4;4;4,59;1,466879;13,22121;34,21759;0,09930212;48,43919;0,091518;0,80365;{16/42/28-561};O4
49;3;6;6;5,44;1,351115;10,33155;28,34029;0,08524167;27,03984;0,075631;0,991097;{12/30/20-239};O6
11;1;8;6;5,65;1,502088;14,19628;34,34711;0,08398046;41,58239;0,066489;0,915992;{15/39/26-509};O6
11;1;8;6;5,86;1,530775;15,02529;34,22987;0,08337851;53,03107;0,128479;0,75229;{18/48/32-424};O6
23;4;8;5;3,99;1,264825;8,47579;26,84998;0,09263276;22,88253;0,081817;0,989654;{11/27/18-78};O5
3;1;2;6;5,38;1,325353;9,75176;27,2348;0,08415204;15,24903;0,030244;0,952629;{8/18/12-7};O6
3;1;2;5;5,03;1,351413;10,33839;28,08985;0,08640461;28,22229;0,104427;0,925068;{12/30/20-165};O5
3;1;2;4;4,41;1,40145;11,5298;31,63168;0,09220578;41,33194;0,047802;0,831237;{18/48/32-425};O4
24;3;2;6;5,88;1,230442;7,80319;23,66091;0,08366851;10,24274;0,010193;1;{6/12/8-1};O6
19;1;4;7;6,9;1,641608;18,53094;38,19027;0,08035169;74,55389;0,067071;0,679771;{24/66/44-54};O7
28;2;2;6;6,24;1,273904;8,65961;24,73103;0,08274932;21,41583;0;0,909981;{14/36/24-19};O6
19;1;8;8;5,63;1,651256;18,85959;39,32047;0,08799497;82,29259;0,324945;0,864952;{21/57/38-124};O8
19;1;4;10;7,95;1,711301;20,99269;41,90617;0,08343984;101,54742;0;0,948745;{22/60/40-93};O10
30;2;8;6;5,5;1,326913;9,78625;27,22264;0,085276;16,34417;0,09388;0,887942;{9/21/14-10};O6
30;2;4;6;5,21;1,281021;8,80556;25,67926;0,08586943;19,10921;0,030675;0,970651;{10/24/16-42};O6
44;3;8;6;4,78;1,213234;7,48035;23,16764;0,0850852;12,29585;0,040746;0,992113;{9/21/14-13};O6
44;3;4;6;5,58;1,300608;9,2157;26,68816;0,0867091;11,33764;0,135408;1;{6/12/8-1};O6
19;1;8;8;5,63;1,647426;18,72863;39,15271;0,08786907;81,99841;0,324794;0,866877;{21/57/38-125};O8
19;1;4;10;8,01;1,707164;20,8408;41,72601;0,08324289;100,71664;0;0,952745;{22/60/40-93};O10
29;2;8;6;5,27;1,326578;9,77882;27,2803;0,08445445;18,76759;0,058264;0,93671;{10/24/16-78};O6
29;2;4;6;5,17;1,278038;8,7442;25,60203;0,08586724;18,95288;0,027674;0,97624;{10/24/16-42};O6
44;3;8;6;5,11;1,20716;7,36856;22,83883;0,08411836;10,6559;0,03582;1;{7/15/10-2};O6
44;3;4;6;5,66;1,300948;9,22291;26,73422;0,08681806;11,24489;0,130257;1;{6/12/8-1};O6
19;1;8;8;6,85;1,680544;19,881;40,69791;0,08556744;91,86299;0,25055;0,880528;{22/60/40-94};O8
19;1;4;10;8,49;1,726725;21,56544;42,67572;0,0830794;99,56622;0;0,957485;{22/60/40-95};O10
27;2;8;6;5,58;1,341066;10,10274;27,82399;0,0837097;19,14253;0,033154;0,959352;{10/24/16-89};O6
27;2;4;6;5,1;1,289442;8,98036;26,13189;0,0854672;19,49045;0,029024;0,988651;{10/24/16-42};O6
44;3;8;6;4,41;1,225554;7,71055;23,74554;0,08515667;12,4202;0,051685;0,999766;{7/15/10-2};O6
44;3;4;6;5,56;1,329881;9,85206;28,12607;0,08717147;18,359;0,084118;0,999477;{8/18/12-3};O6
19;1;8;8;6,85;1,678153;19,79628;40,57809;0,08556522;91,45504;0,250514;0,880298;{22/60/40-94};O8
19;1;4;10;8,44;1,724485;21,48161;42,57561;0,08312112;99,12405;0;0,957484;{22/60/40-95};O10
26;2;8;6;5,83;1,339618;10,07006;27,75671;0,08366406;18,36949;0,019842;0,955038;{9/21/14-8};O6
26;2;4;6;5,1;1,287089;8,93128;26,02211;0,08547844;19,4039;0,030287;0,987394;{10/24/16-42};O6
44;3;8;6;5,69;1,218454;7,57733;23,21176;0,08372974;9,93743;0,012606;1;{6/12/8-1};O6
44;3;4;6;5,57;1,319428;9,62156;27,57044;0,0871479;18,27747;0,119173;0,999555;{8/18/12-3};O6
19;1;8;7;6,84;1,68318;19,97469;40,80334;0,08559667;92,34196;0,250912;0,879229;{22/60/40-94};O7
19;1;4;10;8,45;1,720055;21,31647;42,22198;0,08267182;97,439;0;0,965212;{22/60/40-96};O10
25;2;8;6;5,8;1,344219;10,17416;27,95257;0,08369177;18,54763;0,01978;0,95559;{9/21/14-8};O6
25;2;4;6;5,85;1,368685;10,73987;29,01089;0,08425519;19,52938;0,049219;0,973614;{8/18/12-3};O6
44;3;8;6;5,8;1,221807;7,64006;23,32844;0,08367492;10,0338;0,013575;1;{6/12/8-1};O6
44;3;4;6;5,82;1,226879;7,73559;23,5327;0,08375364;10,1346;0,022542;1;{6/12/8-1};O6
29;2;18;4;5,12;1,396302;11,40321;29,43365;0,09147938;34,12591;0;0,911556;{10/24/16-22};O4
64;3;12;9;7,32;1,402463;11,55481;28,4707;0,07999624;28,91754;0,036664;1;{9/21/14-2};O9
29;2;18;4;5,12;1,395145;11,37488;29,37037;0,09135572;34,03038;0;0,911564;{10/24/16-22};O4
63;3;12;9;7,31;1,40172;11,53645;28,4385;0,07999198;28,88847;0,03678;1;{9/21/14-2};O9
12;2;2;6;5,82;1,324032;9,72264;27,31516;0,08477278;28,07206;0,021917;0,985838;{12/30/20-11};O6
12;2;2;6;5,73;1,308236;9,37879;26,61926;0,08439436;26,42943;0,022114;0,985051;{12/30/20-11};O6
13;3;2;4;4,09;1,260448;8,38811;26,49998;0,09549812;26,72261;0,132837;0,909182;{13/33/22-492};O4
13;3;2;4;4;1,280482;8,79445;27,62523;0,09575146;24,54;0,079671;0,917873;{12/30/20-462};O4
13;3;2;4;3,95;1,279704;8,77844;27,95497;0,09876803;25,11321;0,127408;0,93868;{13/33/22-493};O4
13;3;2;4;4,05;1,277214;8,72729;27,35716;0,09568083;24,15794;0,101201;0,914975;{12/30/20-463};O4
37;1;4;10;7,75;1,732731;21,79123;42,97403;0,08074184;73,96243;0,086396;0,981537;{15/39/26-510};O10
42;6;4;6;4,56;1,209439;7,41039;23,27067;0,08594203;10,78527;0,056829;0,999755;{7/15/10-2};O6
29;1;4;2;4,84;1,515669;14,58485;33,68617;0,08986022;70,31071;0,03826;0,413212;{19/51/34-249};O2
29;1;4;2;4,89;1,498382;14,09148;33,28366;0,09023382;59,98494;0,109231;0,526627;{16/42/28-562};O2
29;1;4;2;4,67;1,554048;15,72106;35,58228;0,09197653;79,62726;0,101284;0,427444;{20/54/36-253};O2
29;1;4;2;4,89;1,499985;14,13674;33,33356;0,0901781;57,23441;0,085966;0,525372;{15/39/26-511};O2
82;2;2;8;7,04;1,60038;17,1695;37,54649;0,08432702;56,57821;0,204996;0,96022;{15/39/26-512};O8
82;2;1;12;9,25;1,55861;15,85992;34,03844;0,07932461;56,48057;0;0,99759;{16/42/28-97};O12
82;2;2;9;6,48;1,559821;15,89692;35,16681;0,08163592;51,54264;0,119058;0,986144;{13/33/22-494};O9
25;2;4;6;5,93;1,349398;10,29223;27,87581;0,08304795;29,15752;0,004529;0,941218;{16/42/28-76};O6
25;2;4;6;6,7;1,348273;10,2665;27,30783;0,08271487;36,66819;0,00035;0,868101;{20/54/36-254};O6
25;2;2;6;5,74;1,366896;10,69782;29,06498;0,08481651;26,3565;0;0,987771;{10/24/16-1};O6
25;2;4;6;5,64;1,362716;10,59997;28,589;0,08369119;27,28496;0,020302;0,974375;{13/33/22-474};O6
63;2;4;6;7,8;1,48991;13,85378;32,08818;0,08048887;48,8659;0,081087;0,744685;{15/39/26-513};O6
63;2;2;6;7,05;1,594157;16,97001;37,04713;0,08353932;80,45056;0;0,837556;{18/48/32-426};O6
22;4;2;6;5,15;1,209198;7,40596;22,78716;0,08371028;12,1006;0,031809;0,995807;{7/15/10-2};O6
56;2;8;8;7,81;1,618639;17,7639;37,88144;0,08126266;62,50017;0,049328;0,870201;{18/48/32-427};O8
83;3;4;6;6,43;1,525885;14,88176;33,71434;0,09339438;55,89225;0,446502;0,954875;{12/30/20-464};O6
29;2;8;5;5,48;1,297675;9,15348;26,03508;0,0848047;22,47427;0,020071;0,879921;{12/30/20-127};O5
29;2;8;5;5,42;1,29938;9,18961;26,3713;0,08510338;22,49195;0,012021;0,902435;{12/30/20-127};O5
11;1;2;6;6,6;1,504763;14,27226;33,77528;0,08543412;55,82294;0,044316;0,897619;{18/48/32-428};O6
11;1;2;6;6,24;1,480736;13,59945;33,14887;0,08422475;50,04419;0,017688;0,917295;{16/42/28-37};O6
11;1;8;6;6,38;1,500505;14,15145;33,97012;0,08277736;37,21016;0,01024;0,843002;{16/42/28-563};O6
11;1;2;6;6,21;1,453025;12,85014;31,9062;0,082762;35,915;0,034173;0,86021;{13/33/22-495};O6
19;1;8;7;7,26;1,724766;21,49212;42,61974;0,08186011;83,86713;0,068606;0,718235;{20/54/36-255};O7
92;6;8;8;4,53;1,306433;9,34007;25,7664;0,08367241;18,85872;0,020156;0,999998;{9/21/14-12};O8
48;2;4;7;5,98;1,422231;12,05032;30,36162;0,08220108;30,73008;0,016074;0,940849;{14/36/24-674};O7
3;1;8;4;4,6;1,359819;10,53251;29,10569;0,08952635;34,54908;0,05364;0,813542;{14/36/24-675};O4
11;1;4;6;6,29;1,516784;14,61706;34,94017;0,08782204;71,90952;0,091268;0,917947;{22/60/40-97};O6
25;2;4;6;5,54;1,393411;11,33251;29,10275;0,08429131;35,92372;0,021084;0,969637;{12/30/20-465};O6
25;2;2;6;5,73;1,335392;9,97504;27,72497;0,08367345;27,28045;0;0,993747;{12/30/20-34};O6
82;2;8;8;7,61;1,576546;16,41377;35,71873;0,081918;58,3075;0,161878;0,896122;{16/42/28-564};O8
82;2;8;7;6,74;1,600594;17,17641;36,55605;0,0837187;63,60364;0,246824;0,811297;{14/36/24-95};O7
82;2;8;6;6,58;1,604697;17,30884;36,88856;0,08507422;64,6701;0,302818;0,81755;{15/39/26-514};O6
