AtNum,Group,NumGroup,OxSt,Mult,CN,NZ,Rsd,V,S,G3,VCP,RCMTop,HD_PartOmega,B_PartOmega,C_PartOmega,N_PartOmega,O_PartOmega,F_PartOmega,Me_PartOmega
47,E11(Cu),11,1,2,5,5.38,1.555549,15.76667,36.26084,0.08588949,11.87493,0.09655,0.112706,0,0,0,0.736887,0,0.147255
47,E11(Cu),11,1,2,5,4.66,1.621819,17.8688,39.678,0.08842385,11.63093,0.130797,0.077547,0,0.018915,0,0.745359,0,0.156886
47,E11(Cu),11,1,2,5,5.14,1.571095,16.24413,37.31116,0.08680381,11.17774,0.089206,0.089412,0,0,0,0.76653,0,0.143475
3,E1(Li),1,1,4,4,5.53,1.376385,10.92216,28.62911,0.08517409,3.16113,0.00937,0,0,0,0,0.709249,0.290751,0
3,E1(Li),1,1,4,4,5.55,1.377042,10.9378,28.69074,0.08518214,3.17641,0.016945,0,0,0,0,0.712097,0.287903,0
13,E13(B),13,3,4,4,4.15,1.259479,8.36877,26.52708,0.09271104,2.6294,0.047849,0.00452,0,0,0,0.909616,0.085864,0
13,E13(B),13,3,4,4,4.17,1.265,8.47931,26.85427,0.09361007,2.60821,0.041546,0.011873,0,0,0,0.915122,0.073005,0
13,E13(B),13,3,4,4,4.13,1.264419,8.46762,26.77554,0.09323999,2.62703,0.049794,0.009469,0,0,0,0.912306,0.078225,0
13,E13(B),13,3,4,4,4.17,1.260798,8.39508,26.60174,0.09299135,2.61847,0.04996,0.008923,0,0,0,0.911134,0.079943,0
3,E1(Li),1,1,2,6,5.45,1.39365,11.33835,28.59929,0.08378654,12.6626,0.108509,0.004998,0,0.000096,0,0.592985,0.401921,0
13,E13(B),13,3,2,4,4.08,1.278589,8.75551,27.02677,0.09559642,2.59937,0.096705,0.018892,0,0,0,0.904329,0.076779,0
74,E6(Cr),6,2,2,6,5.66,1.226001,7.71901,23.75688,0.0853212,9.36199,0.011777,0,0,0,0.296882,0.703118,0,0
30,E12(Zn),12,2,8,6,5.45,1.357809,10.48587,29.04953,0.08656585,12.35511,0.057418,0.008334,0,0,0.625918,0.365748,0,0
29,E11(Cu),11,2,4,5,5.13,1.34169,10.11684,28.40486,0.09070047,6.14078,0.112264,0.006413,0,0.06254,0.151771,0.77909,0,0
