RefCode;Element;Name;AtNum;Group;Period;OxSt;Mult;CN;NZ;Rsd;V;S;G3;VCP;RCMTop;PartOmegaOxygen;
141878;Al;Al1;13;E13;3;3;1;6;5,93;1,18549;6,97882;21,94345;0,08357147;9,22506;0,00;1;
141878;Rb;Rb1;37;E1;5;1;2;12;8,54;1,72962;21,6741;41,75863;0,08008733;72,80062;0,10;0,935689;
141879;Ga;Ga1;31;E13;4;3;1;6;5,88;1,227138;7,74049;23,52338;0,08365118;10,20467;0,00;1;
141879;K;K1;19;E1;4;1;2;9;8,36;1,681949;19,93089;39,68913;0,08062381;46,35563;0,12;0,952921;
141880;Ga;Ga1;31;E13;4;3;1;6;5,86;1,220769;7,6206;23,28923;0,08371854;10,02345;0,00;1;
141880;Rb;Rb1;37;E1;5;1;2;12;8,84;1,722431;21,40496;41,45454;0,07999797;72,87626;0,10;0,93882;
142162;Al;Al1;13;E13;3;3;32;6;5,79;1,165495;6,63162;20,76253;0,08320974;8,99634;0,05;0,936875;
142162;Al;Al2;13;E13;3;3;8;6;6,22;1,221633;7,6368;22,20645;0,08229317;10,32937;0,00;0,948988;
142163;Ga;Ga1;31;E13;4;3;32;6;5,79;1,22177;7,63936;22,52646;0,08277959;10,35179;0,06;0,922534;
142163;In;In1;49;E13;5;3;8;6;6,79;1,319066;9,61364;25,13083;0,08115371;13,43271;0,00;0,917831;
142188;Rb;Rb1;37;E1;5;1;4;8;7,04;1,747671;22,35979;43,65451;0,08108314;41,47803;0,03;0,850207;
142189;Rb;Rb1;37;E1;5;1;4;8;7,08;1,748124;22,37717;43,52472;0,08072932;42,19709;0,02;0,839507;
150463;Na;Na1;11;E1;3;1;4;6;6,17;1,530761;15,02488;35,72276;0,08378227;19,208;0,02;0,997182;
150464;Na;Na1;11;E1;3;1;4;6;6,13;1,530101;15,00546;35,72005;0,08383349;19,174;0,03;0,996594;
150465;Na;Na1;11;E1;3;1;2;6;6,15;1,530554;15,01878;35,725;0,08380382;19,188;0,02;0,997459;
150465;Na;Na2;11;E1;3;1;2;6;6,17;1,531247;15,0392;35,74311;0,08375786;19,242;0,02;0,997021;
150466;Na;Na1;11;E1;3;1;2;6;6,12;1,532135;15,06538;35,80287;0,08384482;19,224;0,02;0,996565;
150466;Na;Na2;11;E1;3;1;2;6;6,14;1,532523;15,0768;35,83896;0,08383727;19,245;0,02;0,99735;
150467;Na;Na1;11;E1;3;1;1;6;6,15;1,530562;15,01901;35,71968;0,08378286;19,206;0,02;0,997291;
150467;Na;Na2;11;E1;3;1;1;6;6,14;1,531339;15,0419;35,7405;0,08378719;19,224;0,02;0,997083;
150467;Na;Na3;11;E1;3;1;1;6;6,15;1,530031;15,00338;35,70311;0,08377887;19,193;0,02;0,997244;
150467;Na;Na4;11;E1;3;1;1;6;6,15;1,530297;15,01122;35,70426;0,08379777;19,185;0,02;0,99724;
150468;Na;Na1;11;E1;3;1;1;6;6,11;1,53087;15,02809;35,7653;0,08384461;19,195;0,03;0,997184;
150468;Na;Na2;11;E1;3;1;1;6;6,1;1,530015;15,00292;35,71483;0,08386859;19,144;0,03;0,996456;
150468;Na;Na3;11;E1;3;1;1;6;6,11;1,531323;15,04142;35,76735;0,08381433;19,235;0,03;0,996222;
150468;Na;Na4;11;E1;3;1;1;6;6,13;1,530572;15,0193;35,74093;0,08385239;19,175;0,03;0,997127;
150730;Rb;Rb1;37;E1;5;1;4;8;8,53;1,760467;22,85454;44,48673;0,08077006;45,79007;0,00;0,841996;
151252;Ca;Ca1;20;E2;4;2;4;8;5,98;1,462973;13,11589;32,0665;0,08235737;26,37469;0,00;1;
151475;Nb;Nb1;41;E5;5;5;2;6;4,44;1,155757;6,46678;21,4791;0,08681454;8,25611;0,00;1;
152062;In;In1;49;E13;5;3;8;6;5,35;1,334646;9,95834;27,81538;0,08512519;12,60028;0,11;1;
152062;In;In2;49;E13;5;3;4;6;5,69;1,334327;9,95121;27,66036;0,08464308;12,78546;0,10;1;
152180;Tb;Tb1;65;Ln;6;3;4;8;7,57;1,392958;11,32147;28,31757;0,08113951;23,692;0,03;0,996075;
154822;La;La1;57;Ln;6;3;2;9;6,38;1,486141;13,74893;32,00409;0,08090171;34,24774;0,07;0,999819;
154822;Ti;Ti1;22;E4;4;4;2;5;4,91;1,246526;8,1132;24,4941;0,08655508;5,30651;0,01;0,959598;
157296;Fe;Fe1;26;E8;4;2;2;6;6;1,320323;9,64115;26,84943;0,08326312;12,79841;0,00;0,968265;
157296;Fe;Fe2;26;E8;4;2;2;6;5,9;1,313029;9,48225;26,69582;0,08328576;12,66282;0,00;0,984806;
158507;Al;Al1;13;E13;3;3;2;6;5,93;1,182314;6,92289;21,11604;0,0827008;9,373;0,01;0,910155;
159078;Al;Al1;13;E13;3;3;8;6;6,3;1,173917;6,77642;20,95396;0,08302321;9,08372;0,04;0,933982;
159079;Al;Al1;13;E13;3;3;8;6;6,22;1,171455;6,73388;20,85855;0,08296467;9,04048;0,04;0,931228;
159080;Al;Al1;13;E13;3;3;8;6;6,37;1,169126;6,6938;20,83148;0,08306865;8,97787;0,04;0,935002;
159081;Al;Al1;13;E13;3;3;8;6;6,29;1,168155;6,67714;20,80387;0,08303889;8,95699;0,04;0,935292;
159082;Al;Al1;13;E13;3;3;8;6;6,08;1,16344;6,59661;20,64643;0,0830436;8,85548;0,03;0,934842;
159083;Al;Al1;13;E13;3;3;8;6;6,08;1,16399;6,60597;20,66222;0,08303051;8,87437;0,03;0,934394;
159084;Al;Al1;13;E13;3;3;8;6;6,07;1,158311;6,50975;20,48698;0,0830245;8,75957;0,03;0,934801;
159085;Al;Al1;13;E13;3;3;8;6;6,14;1,157605;6,49785;20,43401;0,08295128;8,73893;0,03;0,936976;
159110;Na;Na1;11;E1;3;1;2;8;7,3;1,533072;15,09303;34,12849;0,08175482;27,61549;0,00;0,980688;
159110;Ni;Ni1;28;E10;4;2;4;6;6,41;1,277061;8,72415;24,87128;0,08317445;11,61094;0,00;0,903258;
159111;Na;Na1;11;E1;3;1;2;8;7,25;1,525609;14,87368;33,82869;0,08178514;27,21886;0,00;0,978215;
